[2025-10-03 09:13:21,277::train::INFO] Namespace(config='configs/new.yml', device='cuda', resume_iter=None, logdir='./logs_spectra')
[2025-10-03 09:13:21,277::train::INFO] {'model': {'network': 'dualenc_v4', 'hidden_dim': 128, 'num_convs': 6, 'num_convs_local': 4, 'cutoff': 10.0, 'mlp_act': 'relu', 'edge_order': 3, 'edge_encoder': 'mlp', 'smooth_conv': False, 'beta_schedule': 'quad', 'beta_start': 1e-07, 'beta_end': 0.002, 'num_diffusion_timesteps': 5000, 'total_spec_len': 1200, 'spec_patch_size': 20, 'spec_embed_dim': 128, 'spec_num_heads': 4, 'spec_num_layers': 2, 'spec_num_concepts': 8}, 'train': {'seed': 2021, 'batch_size': 32, 'val_freq': 3000, 'max_iters': 1000000, 'max_grad_norm': 1000.0, 'anneal_power': 2.0, 'kl_weight': 0.0001, 'optimizer': {'type': 'adam', 'lr': 0.0001, 'weight_decay': 0.0, 'beta1': 0.95, 'beta2': 0.999}, 'scheduler': {'type': 'cosine', 'T_max': 500000, 'eta_min': 1e-06}}, 'dataset': {'train': './qme14s_all/train_data.pkl', 'val': './qme14s_all/test_data.pkl', 'test': './qme14s_all/test_data.pkl'}}
[2025-10-03 09:13:21,277::train::INFO] 正在加载数据集...
[2025-10-03 09:13:21,418::train::INFO] 数据集加载成功: 训练集 90 | 验证集 10
[2025-10-03 09:13:21,418::train::INFO] 正在构建模型...
[2025-10-03 09:13:22,220::train::INFO] [训练] Iter 00001 | 总损失 3191137.00 | 全局损失 180.20 | 局部损失 3190957.25 | 梯度范数 254732352.00 | 学习率 0.000100
[2025-10-03 09:13:39,851::train::INFO] [训练] Iter 00140 | 总损失 315.52 | 全局损失 115.83 | 局部损失 199.65 | 梯度范数 18174.33 | 学习率 0.000100
[2025-10-03 09:13:39,991::train::INFO] [训练] Iter 00141 | 总损失 275.34 | 全局损失 60.69 | 局部损失 214.61 | 梯度范数 12215.12 | 学习率 0.000100
[2025-10-03 09:13:40,101::train::INFO] [训练] Iter 00142 | 总损失 446.69 | 全局损失 223.69 | 局部损失 222.95 | 梯度范数 9203.91 | 学习率 0.000100
[2025-10-03 09:13:40,212::train::INFO] [训练] Iter 00143 | 总损失 277.54 | 全局损失 70.74 | 局部损失 206.76 | 梯度范数 23606.72 | 学习率 0.000100
[2025-10-03 09:13:40,326::train::INFO] [训练] Iter 00144 | 总损失 390.23 | 全局损失 161.97 | 局部损失 228.21 | 梯度范数 16375.31 | 学习率 0.000100
[2025-10-03 09:13:40,452::train::INFO] [训练] Iter 00145 | 总损失 300.41 | 全局损失 84.42 | 局部损失 215.94 | 梯度范数 18364.47 | 学习率 0.000100
[2025-10-03 09:13:40,576::train::INFO] [训练] Iter 00146 | 总损失 268.53 | 全局损失 83.43 | 局部损失 185.05 | 梯度范数 17223.68 | 学习率 0.000100
[2025-10-03 09:13:40,685::train::INFO] [训练] Iter 00147 | 总损失 301.66 | 全局损失 81.13 | 局部损失 220.48 | 梯度范数 8364.38 | 学习率 0.000100
[2025-10-03 09:13:40,803::train::INFO] [训练] Iter 00148 | 总损失 315.64 | 全局损失 114.77 | 局部损失 200.82 | 梯度范数 18250.98 | 学习率 0.000100
[2025-10-03 09:13:40,919::train::INFO] [训练] Iter 00149 | 总损失 492.55 | 全局损失 215.25 | 局部损失 277.25 | 梯度范数 9574.50 | 学习率 0.000100
[2025-10-03 09:13:41,038::train::INFO] [训练] Iter 00150 | 总损失 303.47 | 全局损失 74.02 | 局部损失 229.40 | 梯度范数 46508.28 | 学习率 0.000100
[2025-10-03 09:13:41,186::train::INFO] [训练] Iter 00151 | 总损失 283.58 | 全局损失 103.76 | 局部损失 179.77 | 梯度范数 15668.76 | 学习率 0.000100
[2025-10-03 09:13:41,314::train::INFO] [训练] Iter 00152 | 总损失 380.94 | 全局损失 147.42 | 局部损失 233.48 | 梯度范数 29672.96 | 学习率 0.000100
[2025-10-03 09:13:41,445::train::INFO] [训练] Iter 00153 | 总损失 252.17 | 全局损失 80.09 | 局部损失 172.04 | 梯度范数 29378.47 | 学习率 0.000100
[2025-10-03 09:13:41,583::train::INFO] [训练] Iter 00154 | 总损失 237.28 | 全局损失 62.82 | 局部损失 174.42 | 梯度范数 18111.54 | 学习率 0.000100
[2025-10-03 09:13:41,697::train::INFO] [训练] Iter 00155 | 总损失 307.74 | 全局损失 101.23 | 局部损失 206.46 | 梯度范数 30532.80 | 学习率 0.000100
[2025-10-03 09:13:41,821::train::INFO] [训练] Iter 00156 | 总损失 235.38 | 全局损失 80.22 | 局部损失 155.12 | 梯度范数 5863.93 | 学习率 0.000100
[2025-10-03 09:13:41,935::train::INFO] [训练] Iter 00157 | 总损失 235.20 | 全局损失 73.36 | 局部损失 161.80 | 梯度范数 5267.24 | 学习率 0.000100
[2025-10-03 09:13:42,051::train::INFO] [训练] Iter 00158 | 总损失 245.59 | 全局损失 67.61 | 局部损失 177.93 | 梯度范数 7897.27 | 学习率 0.000100
[2025-10-03 09:13:42,171::train::INFO] [训练] Iter 00159 | 总损失 534.64 | 全局损失 332.89 | 局部损失 201.70 | 梯度范数 12914.65 | 学习率 0.000100
[2025-10-03 09:13:42,285::train::INFO] [训练] Iter 00160 | 总损失 230.86 | 全局损失 68.41 | 局部损失 162.41 | 梯度范数 7410.32 | 学习率 0.000100
[2025-10-03 09:13:42,409::train::INFO] [训练] Iter 00161 | 总损失 311.34 | 全局损失 147.92 | 局部损失 163.38 | 梯度范数 9303.22 | 学习率 0.000100
[2025-10-03 09:13:42,543::train::INFO] [训练] Iter 00162 | 总损失 231.13 | 全局损失 52.36 | 局部损失 178.73 | 梯度范数 13133.47 | 学习率 0.000100
[2025-10-03 09:13:42,704::train::INFO] [训练] Iter 00163 | 总损失 425.18 | 全局损失 212.90 | 局部损失 212.24 | 梯度范数 8032.20 | 学习率 0.000100
[2025-10-03 09:13:42,850::train::INFO] [训练] Iter 00164 | 总损失 241.67 | 全局损失 79.29 | 局部损失 162.34 | 梯度范数 20638.40 | 学习率 0.000100
[2025-10-03 09:13:42,996::train::INFO] [训练] Iter 00165 | 总损失 213.57 | 全局损失 58.08 | 局部损失 155.45 | 梯度范数 5481.73 | 学习率 0.000100
[2025-10-03 09:13:43,120::train::INFO] [训练] Iter 00166 | 总损失 254.67 | 全局损失 79.84 | 局部损失 174.79 | 梯度范数 9719.75 | 学习率 0.000100
[2025-10-03 09:13:43,242::train::INFO] [训练] Iter 00167 | 总损失 257.01 | 全局损失 67.14 | 局部损失 189.83 | 梯度范数 17167.86 | 学习率 0.000100
[2025-10-03 09:13:43,365::train::INFO] [训练] Iter 00168 | 总损失 472.20 | 全局损失 255.46 | 局部损失 216.70 | 梯度范数 7207.54 | 学习率 0.000100
[2025-10-03 09:13:43,494::train::INFO] [训练] Iter 00169 | 总损失 244.11 | 全局损失 60.55 | 局部损失 183.51 | 梯度范数 5460.30 | 学习率 0.000100
[2025-10-03 09:13:43,624::train::INFO] [训练] Iter 00170 | 总损失 279.10 | 全局损失 79.70 | 局部损失 199.36 | 梯度范数 2805.05 | 学习率 0.000100
[2025-10-03 09:13:43,724::train::INFO] [训练] Iter 00171 | 总损失 437.96 | 全局损失 180.49 | 局部损失 257.42 | 梯度范数 54003.49 | 学习率 0.000100
[2025-10-03 09:13:43,839::train::INFO] [训练] Iter 00172 | 总损失 368.94 | 全局损失 80.53 | 局部损失 288.37 | 梯度范数 69827.64 | 学习率 0.000100
[2025-10-03 09:13:43,927::train::INFO] 终止训练...
